"Timestep"	"Time(s)"	"Time(day)"	"Var"	"X"	"Y"	"Z"	"Value"
52	759266	8.787806e+00	"INITIAL_T"	-0.0333333	-0.166667	-0.166667	4.35272e-321
52	759266	8.787806e+00	"UX"	-0.0111111	-0.0555556	-0.0555556	7.48531e-06
52	759266	8.787806e+00	"UY"	-0.0111111	-0.0555556	-0.0555556	7.53482e-05
52	759266	8.787806e+00	"UZ"	-0.0111111	-0.0555556	-0.0555556	5.28284e-05
52	759266	8.787806e+00	"STOTXX"	-0.0111111	-0.0555556	-0.0555556	2.0102e+07
52	759266	8.787806e+00	"STOTYY"	-0.0111111	-0.0555556	-0.0555556	2.02146e+07
52	759266	8.787806e+00	"STOTZZ"	-0.0111111	-0.0555556	-0.0555556	1.93909e+07
52	759266	8.787806e+00	"STOTYZ"	-0.0111111	-0.0555556	-0.0555556	-668777
52	759266	8.787806e+00	"STOTXZ"	-0.0111111	-0.0555556	-0.0555556	470582
52	759266	8.787806e+00	"STOTXY"	-0.0111111	-0.0555556	-0.0555556	-656709
52	759266	8.787806e+00	"T"	-0.0111111	-0.0555556	-0.0555556	350
52	759266	8.787806e+00	"INITIAL_T"	-0.0111111	-0.0555556	-0.0555556	3.95253e-322
53	906583	1.049286e+01	"UX"	0.0555556	0.277778	0.277778	-5.65959e-05
53	906583	1.049286e+01	"UY"	0.0555556	0.277778	0.277778	-0.000374387
53	906583	1.049286e+01	"UZ"	0.0555556	0.277778	0.277778	-0.000349547
53	906583	1.049286e+01	"STOTXX"	0.0555556	0.277778	0.277778	1.91831e+07
53	906583	1.049286e+01	"STOTYY"	0.0555556	0.277778	0.277778	1.97639e+07
53	906583	1.049286e+01	"STOTZZ"	0.0555556	0.277778	0.277778	2.00492e+07
53	906583	1.049286e+01	"STOTYZ"	0.0555556	0.277778	0.277778	868658
53	906583	1.049286e+01	"STOTXZ"	0.0555556	0.277778	0.277778	-772746
53	906583	1.049286e+01	"STOTXY"	0.0555556	0.277778	0.277778	-272369
53	906583	1.049286e+01	"T"	0.0555556	0.277778	0.277778	350
53	906583	1.049286e+01	"INITIAL_T"	0.0555556	0.277778	0.277778	6.48708e-321
53	906583	1.049286e+01	"UX"	0.0111111	0.0555556	0.0555556	-1.25508e-05
53	906583	1.049286e+01	"UY"	0.0111111	0.0555556	0.0555556	-7.64718e-05
