time,bname,vname,u
4.203500e+02,ZP,UZ,-2.186584e-04
4.218600e+02,ZP,UZ,-2.186584e-04
4.233600e+02,ZP,UZ,-2.189348e-04
4.248700e+02,ZP,UZ,-2.175525e-04
4.263800e+02,ZP,UZ,-2.178291e-04
4.278900e+02,ZP,UZ,-2.181055e-04
4.293900e+02,ZP,UZ,-2.186584e-04
4.309000e+02,ZP,UZ,-2.175525e-04
4.324000e+02,ZP,UZ,-2.178291e-04
4.339100e+02,ZP,UZ,-2.175525e-04
4.354200e+02,ZP,UZ,-2.178291e-04
4.369200e+02,ZP,UZ,-2.186584e-04
4.384300e+02,ZP,UZ,-2.186584e-04
4.399400e+02,ZP,UZ,-2.189348e-04
4.414500e+02,ZP,UZ,-2.175525e-04
4.429500e+02,ZP,UZ,-2.175525e-04
4.444600e+02,ZP,UZ,-2.181055e-04
4.459700e+02,ZP,UZ,-2.178291e-04
4.474700e+02,ZP,UZ,-2.178291e-04
4.489800e+02,ZP,UZ,-2.175525e-04
4.504800e+02,ZP,UZ,-2.181055e-04
4.519900e+02,ZP,UZ,-2.178291e-04
4.535000e+02,ZP,UZ,-2.189348e-04
4.550000e+02,ZP,UZ,-2.186584e-04
4.565100e+02,ZP,UZ,-2.189348e-04
4.580200e+02,ZP,UZ,-2.183818e-04
4.595200e+02,ZP,UZ,-2.181055e-04
4.610300e+02,ZP,UZ,-2.186584e-04
4.625300e+02,ZP,UZ,-2.186584e-04
4.640300e+02,ZP,UZ,-2.175525e-04
4.655400e+02,ZP,UZ,-2.172762e-04
4.670400e+02,ZP,UZ,-2.178291e-04
4.685400e+02,ZP,UZ,-2.175525e-04
4.700500e+02,ZP,UZ,-2.175525e-04
4.715500e+02,ZP,UZ,-2.172762e-04
4.730600e+02,ZP,UZ,-2.175525e-04
4.745600e+02,ZP,UZ,-2.178291e-04
4.760600e+02,ZP,UZ,-2.175525e-04
4.775700e+02,ZP,UZ,-2.175525e-04
4.790700e+02,ZP,UZ,-2.178291e-04
4.805800e+02,ZP,UZ,-2.189348e-04
4.820800e+02,ZP,UZ,-2.175525e-04
4.835800e+02,ZP,UZ,-2.189348e-04
4.850900e+02,ZP,UZ,-2.183818e-04
4.865900e+02,ZP,UZ,-2.189348e-04
4.880900e+02,ZP,UZ,-2.178291e-04
4.896000e+02,ZP,UZ,-2.172762e-04
4.911000e+02,ZP,UZ,-2.181055e-04
4.926100e+02,ZP,UZ,-2.175525e-04
4.941100e+02,ZP,UZ,-2.175525e-04
4.956200e+02,ZP,UZ,-2.192111e-04
4.971200e+02,ZP,UZ,-2.181055e-04
4.986300e+02,ZP,UZ,-2.186584e-04
5.001300e+02,ZP,UZ,-2.172762e-04
5.016300e+02,ZP,UZ,-2.186584e-04
5.031400e+02,ZP,UZ,-2.181055e-04
5.046400e+02,ZP,UZ,-2.178291e-04
5.061400e+02,ZP,UZ,-2.175525e-04
5.076500e+02,ZP,UZ,-2.175525e-04
5.091500e+02,ZP,UZ,-2.183818e-04
5.106600e+02,ZP,UZ,-2.172762e-04
5.121600e+02,ZP,UZ,-2.186584e-04
5.136700e+02,ZP,UZ,-2.178291e-04
5.151700e+02,ZP,UZ,-2.178291e-04
5.166800e+02,ZP,UZ,-2.172762e-04
5.181800e+02,ZP,UZ,-2.183818e-04
5.196900e+02,ZP,UZ,-2.181055e-04
5.211900e+02,ZP,UZ,-2.181055e-04
5.226900e+02,ZP,UZ,-2.172762e-04
5.242000e+02,ZP,UZ,-2.183818e-04
5.257000e+02,ZP,UZ,-2.181055e-04
5.272100e+02,ZP,UZ,-2.181055e-04
5.287100e+02,ZP,UZ,-2.172762e-04
5.302200e+02,ZP,UZ,-2.186584e-04
5.317200e+02,ZP,UZ,-2.175525e-04
5.332300e+02,ZP,UZ,-2.172762e-04
5.347300e+02,ZP,UZ,-2.181055e-04
5.362300e+02,ZP,UZ,-2.172762e-04
5.377400e+02,ZP,UZ,-2.175525e-04
5.392400e+02,ZP,UZ,-2.172762e-04
5.407400e+02,ZP,UZ,-2.186584e-04
5.422500e+02,ZP,UZ,-2.178291e-04
5.437500e+02,ZP,UZ,-2.175525e-04
5.452600e+02,ZP,UZ,-2.181055e-04
5.467600e+02,ZP,UZ,-2.175525e-04
5.482700e+02,ZP,UZ,-2.175525e-04
5.497700e+02,ZP,UZ,-2.175525e-04
5.512800e+02,ZP,UZ,-2.181055e-04
5.527800e+02,ZP,UZ,-2.175525e-04
5.542800e+02,ZP,UZ,-2.175525e-04
5.557900e+02,ZP,UZ,-2.178291e-04
5.572900e+02,ZP,UZ,-2.175525e-04
5.587900e+02,ZP,UZ,-2.183818e-04
5.603000e+02,ZP,UZ,-2.189348e-04
5.618000e+02,ZP,UZ,-2.172762e-04
5.633000e+02,ZP,UZ,-2.175525e-04
5.648100e+02,ZP,UZ,-2.178291e-04
5.663100e+02,ZP,UZ,-2.189348e-04
5.678200e+02,ZP,UZ,-2.175525e-04
5.708300e+02,ZP,UZ,-2.178291e-04
5.723300e+02,ZP,UZ,-2.183818e-04
5.738400e+02,ZP,UZ,-2.175525e-04
5.753400e+02,ZP,UZ,-2.186584e-04
5.768500e+02,ZP,UZ,-2.169998e-04
5.783500e+02,ZP,UZ,-2.175525e-04
5.798600e+02,ZP,UZ,-2.189348e-04
5.813700e+02,ZP,UZ,-2.189348e-04
5.828700e+02,ZP,UZ,-2.172762e-04
5.843800e+02,ZP,UZ,-2.169998e-04
5.858800e+02,ZP,UZ,-2.175525e-04
5.873900e+02,ZP,UZ,-2.178291e-04
5.889000e+02,ZP,UZ,-2.181055e-04
5.904000e+02,ZP,UZ,-2.183818e-04
5.919100e+02,ZP,UZ,-2.178291e-04
5.934200e+02,ZP,UZ,-2.183818e-04
5.949200e+02,ZP,UZ,-2.183818e-04
5.964300e+02,ZP,UZ,-2.172762e-04
5.979400e+02,ZP,UZ,-2.183818e-04
5.994400e+02,ZP,UZ,-2.186584e-04
6.009500e+02,ZP,UZ,-2.175525e-04
6.024600e+02,ZP,UZ,-2.169998e-04
6.039600e+02,ZP,UZ,-2.131296e-04
6.054600e+02,ZP,UZ,-2.087067e-04
6.069700e+02,ZP,UZ,-2.128533e-04
6.084800e+02,ZP,UZ,-2.200405e-04
6.099800e+02,ZP,UZ,-2.324799e-04
6.114900e+02,ZP,UZ,-2.391143e-04
6.129900e+02,ZP,UZ,-2.493424e-04
6.145000e+02,ZP,UZ,-2.592939e-04
