,time,ten9_comp,Total Stress,S3 Magnitude,Pressure,Temperature
194,99737.703125,yz,-51967.15,-7.569092e+07,6.736018e+07,313.22525
195,99737.703125,zx,-45113.645,-7.569092e+07,6.736018e+07,313.22525
196,99737.703125,zy,-51967.15,-7.569092e+07,6.736018e+07,313.22525
197,99737.703125,zz,-9.248809e+07,-7.569092e+07,6.736018e+07,313.22525
198,149616.546875,xx,-7.547863e+07,-7.545904e+07,6.759409e+07,309.789
199,149616.546875,xy,2.7811144e-11,-7.545904e+07,6.759409e+07,309.789
200,149616.546875,xz,-46634.676,-7.545904e+07,6.759409e+07,309.789
201,149616.546875,yx,2.7811144e-11,-7.545904e+07,6.759409e+07,309.789
202,149616.546875,yy,-7.545924e+07,-7.545904e+07,6.759409e+07,309.789
203,149616.546875,yz,-56728.52,-7.545904e+07,6.759409e+07,309.789
204,149616.546875,zx,-46634.676,-7.545904e+07,6.759409e+07,309.789
205,149616.546875,zy,-56728.52,-7.545904e+07,6.759409e+07,309.789
206,149616.546875,zz,-9.197967e+07,-7.545904e+07,6.759409e+07,309.789
207,224434.828125,xx,-7.57066e+07,-7.5706504e+07,6.82103e+07,308.13126
208,224434.828125,xy,2.0870545e-11,-7.5706504e+07,6.82103e+07,308.13126
209,224434.828125,xz,-38524.234,-7.5706504e+07,6.82103e+07,308.13126
210,224434.828125,yx,2.0870545e-11,-7.5706504e+07,6.82103e+07,308.13126
211,224434.828125,yy,-7.570794e+07,-7.5706504e+07,6.82103e+07,308.13126
212,224434.828125,yz,-54958.0,-7.5706504e+07,6.82103e+07,308.13126
213,224434.828125,zx,-38524.234,-7.5706504e+07,6.82103e+07,308.13126
214,224434.828125,zy,-54958.0,-7.5706504e+07,6.82103e+07,308.13126
215,224434.828125,zz,-9.27207e+07,-7.5706504e+07,6.82103e+07,308.13126
216,336662.25,xx,-7.559835e+07,-7.5595e+07,6.80547e+07,308.151
217,336662.25,xy,1.4168731e-11,-7.5595e+07,6.80547e+07,308.151
218,336662.25,xz,-39504.05,-7.5595e+07,6.80547e+07,308.151
219,336662.25,yx,1.4168731e-11,-7.5595e+07,6.80547e+07,308.151
220,336662.25,yy,-7.559519e+07,-7.5595e+07,6.80547e+07,308.151
221,336662.25,yz,-56674.84,-7.5595e+07,6.80547e+07,308.151
222,336662.25,zx,-39504.05,-7.5595e+07,6.80547e+07,308.151
223,336662.25,zy,-56674.84,-7.5595e+07,6.80547e+07,308.151
224,336662.25,zz,-9.238662e+07,-7.5595e+07,6.80547e+07,308.151
225,505003.375,xx,-7.5886616e+07,-7.588653e+07,6.848844e+07,308.1255
226,505003.375,xy,3.7797404e-11,-7.588653e+07,6.848844e+07,308.1255
227,505003.375,xz,-38887.97,-7.588653e+07,6.848844e+07,308.1255
228,505003.375,yx,3.7797404e-11,-7.588653e+07,6.848844e+07,308.1255
229,505003.375,yy,-7.5889256e+07,-7.588653e+07,6.848844e+07,308.1255
230,505003.375,yz,-52976.953,-7.588653e+07,6.848844e+07,308.1255
231,505003.375,zx,-38887.97,-7.588653e+07,6.848844e+07,308.1255
