,time,point_idx,ten9_comp,Total Stress,S3 Magnitude
329,-1.0,36,yz,-25.342346,-9.737463e+07
330,-1.0,36,zx,-0.036234513,-9.737463e+07
331,-1.0,36,zy,-25.342346,-9.737463e+07
332,-1.0,36,zz,-9.7426344e+07,-9.737463e+07
333,-1.0,37,xx,-9.737464e+07,-9.737463e+07
334,-1.0,37,xy,-0.047800485,-9.737463e+07
335,-1.0,37,xz,-0.07723199,-9.737463e+07
336,-1.0,37,yx,-0.047800485,-9.737463e+07
337,-1.0,37,yy,-9.737463e+07,-9.737463e+07
338,-1.0,37,yz,-26.028402,-9.737463e+07
339,-1.0,37,zx,-0.07723199,-9.737463e+07
340,-1.0,37,zy,-26.028402,-9.737463e+07
341,-1.0,37,zz,-9.7426344e+07,-9.737463e+07
342,-1.0,38,xx,-9.737464e+07,-9.737463e+07
343,-1.0,38,xy,-0.044258073,-9.737463e+07
344,-1.0,38,xz,-0.11822801,-9.737463e+07
345,-1.0,38,yx,-0.044258073,-9.737463e+07
346,-1.0,38,yy,-9.737463e+07,-9.737463e+07
347,-1.0,38,yz,-26.714458,-9.737463e+07
348,-1.0,38,zx,-0.11822801,-9.737463e+07
349,-1.0,38,zy,-26.714458,-9.737463e+07
350,-1.0,38,zz,-9.7426344e+07,-9.737463e+07
351,-1.0,39,xx,-9.737465e+07,-9.737463e+07
352,-1.0,39,xy,-0.14630523,-9.737463e+07
353,-1.0,39,xz,-0.06825078,-9.737463e+07
354,-1.0,39,yx,-0.14630523,-9.737463e+07
355,-1.0,39,yy,-9.737463e+07,-9.737463e+07
356,-1.0,39,yz,-27.027107,-9.737463e+07
357,-1.0,39,zx,-0.06825078,-9.737463e+07
358,-1.0,39,zy,-27.027107,-9.737463e+07
359,-1.0,39,zz,-9.7426344e+07,-9.737463e+07
360,-1.0,40,xx,-9.737464e+07,-9.737463e+07
361,-1.0,40,xy,-0.1509753,-9.737463e+07
362,-1.0,40,xz,-0.034127824,-9.737463e+07
363,-1.0,40,yx,-0.1509753,-9.737463e+07
364,-1.0,40,yy,-9.737463e+07,-9.737463e+07
365,-1.0,40,yz,-27.556532,-9.737463e+07
366,-1.0,40,zx,-0.034127824,-9.737463e+07
367,-1.0,40,zy,-27.556532,-9.737463e+07
368,-1.0,40,zz,-9.7426344e+07,-9.737463e+07
369,-1.0,41,xx,-9.737464e+07,-9.737462e+07
370,-1.0,41,xy,-0.15564542,-9.737462e+07
371,-1.0,41,xz,-3.8301105e-06,-9.737462e+07
372,-1.0,41,yx,-0.15564542,-9.737462e+07
373,-1.0,41,yy,-9.737462e+07,-9.737462e+07
374,-1.0,41,yz,-28.085955,-9.737462e+07
375,-1.0,41,zx,-3.8301105e-06,-9.737462e+07
376,-1.0,41,zy,-28.085955,-9.737462e+07
377,-1.0,41,zz,-9.742634e+07,-9.737462e+07
378,-1.0,42,xx,-9.737463e+07,-9.737462e+07
379,-1.0,42,xy,-0.12177113,-9.737462e+07
380,-1.0,42,xz,0.022891652,-9.737462e+07
381,-1.0,42,yx,-0.12177113,-9.737462e+07
